outToken,amountIn,amountOut,amountInWithSlippage,amountOutWithSlippage,modifiedCalldata
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,48240000000,19238220838972272713,48095280000,19174995453709084791,0x07ed2379000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd09000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd090000000000000000000000007eb6c83ab7d8d9b8618c0ed973cbef71d1921ef20000000000000000000000000000000000000000000000000000000b32b3bb8000000000000000000000000000000000000000000000000105a4eeb9e11c4b7a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012000000000000000000000000000000000000000000000000000000000000002400000000000000000000000000000000000000002220001f40001c600017c00a007e5c0d200000000000000000000000000000000000000000000015800013e00002e00a0a87a1ae8c9f93163c99695c6526b799ebca2207fdf7d61ada0b86991c6218b36c1d19d4a2e9eb0ce3606eb485120d17b3c9784510e33cd5b87b490e79253bcd81e2edac17f958d2ee523a2206206994597c13d831ec7004458d30ac9000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105a4eeb9e11c4b7a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd090000000000000000000000000000000000000000000000000000000066dd73d00020d6bdbf78c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200a0f2fa6b66c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000000000000000000000000000000000000000000000010afbe3ecb175b0490000000000000000000719d37467014f80a06c4eca27c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2111111125421ca6dc452d289314280a0f8842a650020d6bdbf78c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2111111125421ca6dc452d289314280a0f8842a65cec83fa6
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,35720000000,14245222010424827454,35119904000,14001878458049194578,0x07ed2379000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd09000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd090000000000000000000000007eb6c83ab7d8d9b8618c0ed973cbef71d1921ef2000000000000000000000000000000000000000000000000000000082d4f3500000000000000000000000000000000000000000000000000c1bd02dd7c6386980000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012000000000000000000000000000000000000000000000000000000000000002400000000000000000000000000000000000000002220001f40001c600017c00a007e5c0d200000000000000000000000000000000000000000000015800013e00002e00a0a87a1ae8c9f93163c99695c6526b799ebca2207fdf7d61ada0b86991c6218b36c1d19d4a2e9eb0ce3606eb485120d17b3c9784510e33cd5b87b490e79253bcd81e2edac17f958d2ee523a2206206994597c13d831ec7004458d30ac9000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c1bd02dd7c6386980000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd090000000000000000000000000000000000000000000000000000000066dd73da0020d6bdbf78c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200a0f2fa6b66c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000000000000000000000000000c5b131f1adf29e3e0000000000000000000719d37467014f80a06c4eca27c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2111111125421ca6dc452d289314280a0f8842a650020d6bdbf78c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2111111125421ca6dc452d289314280a0f8842a65cec83fa6
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,9915000000,3952657069413527648,9890212500,3942776434207485113,0x83800a8e000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48000000000000000000000000000000000000000000000000000000024d80aa9400000000000000000000000000000000000000000000000035c1ce3fd280d48728800000000000000000000088e6a0c2ddd26feeb64f039a2c41296fcb3f5640cec83fa6
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11629000000,4635932855919190568,11666212800,4650774757857881182,0x83800a8e000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb4800000000000000000000000000000000000000000000000000000002b75c47c00000000000000000000000000000000000000000000000003f0cbd3e2a08736428800000000000000000000088e6a0c2ddd26feeb64f039a2c41296fcb3f5640cec83fa6
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,44214000000,17627579030699282354,43820495400,17470693788506322942,0x07ed2379000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd09000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd090000000000000000000000007eb6c83ab7d8d9b8618c0ed973cbef71d1921ef20000000000000000000000000000000000000000000000000000000a33e7b228000000000000000000000000000000000000000000000000efbd39f05774ca420000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012000000000000000000000000000000000000000000000000000000000000002400000000000000000000000000000000000000002220001f40001c600017c00a007e5c0d200000000000000000000000000000000000000000000015800013e00002e00a0a87a1ae8c9f93163c99695c6526b799ebca2207fdf7d61ada0b86991c6218b36c1d19d4a2e9eb0ce3606eb485120d17b3c9784510e33cd5b87b490e79253bcd81e2edac17f958d2ee523a2206206994597c13d831ec7004458d30ac9000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000efbd39f05774ca420000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd090000000000000000000000000000000000000000000000000000000066dd73e00020d6bdbf78c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200a0f2fa6b66c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000000000000000000000000000f4a1bdbbc6f48fb20000000000000000000719d37467014f80a06c4eca27c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2111111125421ca6dc452d289314280a0f8842a650020d6bdbf78c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2111111125421ca6dc452d289314280a0f8842a65cec83fa6
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,51962000000,20718133573849761525,52564759200,20718133573849761525,0x07ed2379000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd09000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd090000000000000000000000007eb6c83ab7d8d9b8618c0ed973cbef71d1921ef20000000000000000000000000000000000000000000000000000000c3d1a92a000000000000000000000000000000000000000000000000119c57c0fccd7525600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120000000000000000000000000000000000000000000000000000000000000033a00000000000000000000000000000000031c0002ee0002c000027600025c00a0c9e75c480000000000000000090100000000000000000000000000000000000000000000000000022e00004f02a00000000000000000000000000000000000000000000000001c2f77477d6836f2ee63c1e501e0554a476a092703abdb3ef35c80e0d76d32939fa0b86991c6218b36c1d19d4a2e9eb0ce3606eb4800a007e5c0d20000000000000000000000000000000000000000000000000001bb00002e00a0a87a1ae8c9f93163c99695c6526b799ebca2207fdf7d61ada0b86991c6218b36c1d19d4a2e9eb0ce3606eb4800a0c9e75c480000000000000000270b00000000000000000000000000000000000000000000000000015f00004f02a000000000000000000000000000000000000000000000000037cc02edbc1fb43aee63c1e500c7bbec68d12a0d1830360f8ec58fa599ba1b0e9bdac17f958d2ee523a2206206994597c13d831ec75120d17b3c9784510e33cd5b87b490e79253bcd81e2edac17f958d2ee523a2206206994597c13d831ec7004458d30ac9000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c5ca01da934f67290000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd090000000000000000000000000000000000000000000000000000000066dd73e80020d6bdbf78c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200a0f2fa6b66c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000000000000000000000000000000000000000000000011f8598b74e68c6f50000000000000000000719d37467014f80a06c4eca27c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2111111125421ca6dc452d289314280a0f8842a650020d6bdbf78c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2111111125421ca6dc452d289314280a0f8842a65000000000000cec83fa6
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,70676000000,28179590890044192360,69446237600,27688942670016705183,0x07ed2379000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd09000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd090000000000000000000000007eb6c83ab7d8d9b8618c0ed973cbef71d1921ef2000000000000000000000000000000000000000000000000000000102b517da00000000000000000000000000000000000000000000000017f3fbcd7229457e000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120000000000000000000000000000000000000000000000000000000000000033a00000000000000000000000000000000031c0002ee0002c000027600025c00a0c9e75c480000000000000000090100000000000000000000000000000000000000000000000000022e00004f02a00000000000000000000000000000000000000000000000002655636d28df0851ee63c1e501e0554a476a092703abdb3ef35c80e0d76d32939fa0b86991c6218b36c1d19d4a2e9eb0ce3606eb4800a007e5c0d20000000000000000000000000000000000000000000000000001bb00002e00a0a87a1ae8c9f93163c99695c6526b799ebca2207fdf7d61ada0b86991c6218b36c1d19d4a2e9eb0ce3606eb4800a0c9e75c4800000000000000002a0800000000000000000000000000000000000000000000000000015f00004f02a00000000000000000000000000000000000000000000000003731bb3c99d37aecee63c1e500c7bbec68d12a0d1830360f8ec58fa599ba1b0e9bdac17f958d2ee523a2206206994597c13d831ec75120d17b3c9784510e33cd5b87b490e79253bcd81e2edac17f958d2ee523a2206206994597c13d831ec7004458d30ac9000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121b89e2d5fe1d4a20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd090000000000000000000000000000000000000000000000000000000066dd73f30020d6bdbf78c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200a0f2fa6b66c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000000000000000000000000000000000000000000000018712049cd4eaf6680000000000000000000719d37467014f80a06c4eca27c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2111111125421ca6dc452d289314280a0f8842a650020d6bdbf78c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2111111125421ca6dc452d289314280a0f8842a65000000000000cec83fa6
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,90545000000,36101164651708352028,90898125500,36101164651708352028,0x07ed2379000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd09000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd090000000000000000000000007eb6c83ab7d8d9b8618c0ed973cbef71d1921ef20000000000000000000000000000000000000000000000000000001529f352bc000000000000000000000000000000000000000000000001eafbf59e761b0b1b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120000000000000000000000000000000000000000000000000000000000000033a00000000000000000000000000000000031c0002ee0002c000027600025c00a0c9e75c480000000000000000090100000000000000000000000000000000000000000000000000022e00004f02a0000000000000000000000000000000000000000000000000311b3d0312518ebeee63c1e501e0554a476a092703abdb3ef35c80e0d76d32939fa0b86991c6218b36c1d19d4a2e9eb0ce3606eb4800a007e5c0d20000000000000000000000000000000000000000000000000001bb00002e00a0a87a1ae8c9f93163c99695c6526b799ebca2207fdf7d61ada0b86991c6218b36c1d19d4a2e9eb0ce3606eb4800a0c9e75c4800000000000000002c0600000000000000000000000000000000000000000000000000015f00004f02a000000000000000000000000000000000000000000000000035088c40b1cafd56ee63c1e500c7bbec68d12a0d1830360f8ec58fa599ba1b0e9bdac17f958d2ee523a2206206994597c13d831ec75120d17b3c9784510e33cd5b87b490e79253bcd81e2edac17f958d2ee523a2206206994597c13d831ec7004458d30ac9000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000184d82c5ab1fe7f060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd090000000000000000000000000000000000000000000000000000000066dd73fd0020d6bdbf78c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200a0f2fa6b66c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000000000000000000000000001f50119fa82f7061c0000000000000000000719d37467014f80a06c4eca27c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2111111125421ca6dc452d289314280a0f8842a650020d6bdbf78c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2111111125421ca6dc452d289314280a0f8842a65000000000000cec83fa6
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,88957000000,35468076482569426869,90140128100,35468076482569426869,0x07ed2379000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd09000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd090000000000000000000000007eb6c83ab7d8d9b8618c0ed973cbef71d1921ef200000000000000000000000000000000000000000000000000000014fcc53364000000000000000000000000000000000000000000000001e25fc31711bcf73b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120000000000000000000000000000000000000000000000000000000000000033a00000000000000000000000000000000031c0002ee0002c000027600025c00a0c9e75c480000000000000000090100000000000000000000000000000000000000000000000000022e00004f02a0000000000000000000000000000000000000000000000000303ed640ba56c232ee63c1e501e0554a476a092703abdb3ef35c80e0d76d32939fa0b86991c6218b36c1d19d4a2e9eb0ce3606eb4800a007e5c0d20000000000000000000000000000000000000000000000000001bb00002e00a0a87a1ae8c9f93163c99695c6526b799ebca2207fdf7d61ada0b86991c6218b36c1d19d4a2e9eb0ce3606eb4800a0c9e75c4800000000000000002b0700000000000000000000000000000000000000000000000000015f00004f02a00000000000000000000000000000000000000000000000003cc944569e676a05ee63c1e500c7bbec68d12a0d1830360f8ec58fa599ba1b0e9bdac17f958d2ee523a2206206994597c13d831ec75120d17b3c9784510e33cd5b87b490e79253bcd81e2edac17f958d2ee523a2206206994597c13d831ec7004458d30ac9000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017557a87fb8fecb030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd090000000000000000000000000000000000000000000000000000000066dd73ff0020d6bdbf78c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200a0f2fa6b66c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000000000000000000000000001ec37eba499efd7b50000000000000000000719d37467014f80a06c4eca27c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2111111125421ca6dc452d289314280a0f8842a650020d6bdbf78c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2111111125421ca6dc452d289314280a0f8842a65000000000000cec83fa6
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,87755000000,34988851381925537036,87325000500,34816949954819494211,0x07ed2379000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd09000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd090000000000000000000000007eb6c83ab7d8d9b8618c0ed973cbef71d1921ef20000000000000000000000000000000000000000000000000000001454f9c334000000000000000000000000000000000000000000000001dbdb4374343c207700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120000000000000000000000000000000000000000000000000000000000000033a00000000000000000000000000000000031c0002ee0002c000027600025c00a0c9e75c480000000000000000090100000000000000000000000000000000000000000000000000022e00004f02a00000000000000000000000000000000000000000000000002f9801e24db4d6a9ee63c1e501e0554a476a092703abdb3ef35c80e0d76d32939fa0b86991c6218b36c1d19d4a2e9eb0ce3606eb4800a007e5c0d20000000000000000000000000000000000000000000000000001bb00002e00a0a87a1ae8c9f93163c99695c6526b799ebca2207fdf7d61ada0b86991c6218b36c1d19d4a2e9eb0ce3606eb4800a0c9e75c4800000000000000002b0700000000000000000000000000000000000000000000000000015f00004f02a00000000000000000000000000000000000000000000000003bf706ecfb786891ee63c1e500c7bbec68d12a0d1830360f8ec58fa599ba1b0e9bdac17f958d2ee523a2206206994597c13d831ec75120d17b3c9784510e33cd5b87b490e79253bcd81e2edac17f958d2ee523a2206206994597c13d831ec7004458d30ac9000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001704c3aa4eb0ee13c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e37e799d5077682fa0a244d46e5649f71457bd090000000000000000000000000000000000000000000000000000000066dd74000020d6bdbf78c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200a0f2fa6b66c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000000000000000000000000001e5915ef3f69b650c0000000000000000000719d37467014f80a06c4eca27c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2111111125421ca6dc452d289314280a0f8842a650020d6bdbf78c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2111111125421ca6dc452d289314280a0f8842a65000000000000cec83fa6
